Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
10/22/2014 9:30,194.41,194.48,194.33,194.35,1882190
10/22/2014 9:31,194.34,194.37,194.29,194.29,461772
10/22/2014 9:32,194.29,194.39,194.22,194.39,672193
10/22/2014 9:33,194.4,194.41,194.22,194.32,536366
10/22/2014 9:34,194.32,194.34,194.2,194.2,472114
10/22/2014 9:35,194.2,194.22,194.01,194.07,813288
10/22/2014 9:36,194.08,194.09,193.95,194.06,798242
10/22/2014 9:37,194.06,194.11,194.02,194.07,572135
10/22/2014 9:38,194.08,194.17,194.05,194.12,491723
10/22/2014 9:39,194.12,194.13,193.95,193.96,324842
10/22/2014 9:40,193.96,194.05,193.92,194,453722
10/22/2014 9:41,193.98,194.02,193.92,193.97,374309
10/22/2014 9:42,193.97,194.01,193.94,193.9899,440434
10/22/2014 9:43,193.975,194.1801,193.95,194.09,461575
10/22/2014 9:44,194.091,194.29,194.09,194.25,388632
10/22/2014 9:45,194.26,194.3,194.15,194.16,421807
10/22/2014 9:46,194.17,194.26,194.12,194.25,256468
10/22/2014 9:47,194.25,194.32,194.1799,194.315,240264
10/22/2014 9:48,194.32,194.36,194.21,194.27,437749
10/22/2014 9:49,194.28,194.38,194.25,194.25,424730
10/22/2014 9:50,194.26,194.54,194.26,194.49,498246
10/22/2014 9:51,194.495,194.56,194.46,194.5114,541439
10/22/2014 9:52,194.52,194.63,194.46,194.6,486779
10/22/2014 9:53,194.6,194.72,194.589,194.601,561523
10/22/2014 9:54,194.609,194.67,194.565,194.61,418103
10/22/2014 9:55,194.61,194.62,194.52,194.55,319446
10/22/2014 9:56,194.54,194.58,194.52,194.57,261558
10/22/2014 9:57,194.56,194.595,194.52,194.56,220109
10/22/2014 9:58,194.56,194.67,194.55,194.6584,210381
10/22/2014 9:59,194.65,194.68,194.61,194.67,261072
10/22/2014 10:00,194.67,194.673,194.59,194.59,330751
10/22/2014 10:01,194.59,194.601,194.46,194.4901,882712
10/22/2014 10:02,194.49,194.54,194.42,194.427,363704
10/22/2014 10:03,194.43,194.56,194.42,194.48,232868
10/22/2014 10:04,194.5,194.5765,194.46,194.47,251511
10/22/2014 10:05,194.471,194.54,194.4075,194.46,231162
10/22/2014 10:06,194.46,194.5,194.42,194.44,240460
10/22/2014 10:07,194.44,194.45,194.33,194.35,372214
10/22/2014 10:08,194.35,194.3634,194.28,194.293,421634
10/22/2014 10:09,194.31,194.32,194.17,194.21,338323
10/22/2014 10:10,194.21,194.3,194.21,194.28,331720
10/22/2014 10:11,194.273,194.36,194.219,194.3032,275572
10/22/2014 10:12,194.31,194.31,194.24,194.25,186447
10/22/2014 10:13,194.25,194.29,194.2,194.23,380984
10/22/2014 10:14,194.23,194.25,194.14,194.199,358525
10/22/2014 10:15,194.2,194.23,194.12,194.185,239732
10/22/2014 10:16,194.17,194.18,194.1,194.11,286148
10/22/2014 10:17,194.11,194.16,194.055,194.12,319446
10/22/2014 10:18,194.13,194.23,194.1,194.23,477934
10/22/2014 10:19,194.23,194.32,194.2,194.3132,339504
10/22/2014 10:20,194.32,194.42,194.26,194.38,400681
10/22/2014 10:21,194.38,194.47,194.38,194.46,184442
10/22/2014 10:22,194.47,194.53,194.46,194.482,287376
10/22/2014 10:23,194.48,194.51,194.4,194.48,424441
10/22/2014 10:24,194.48,194.51,194.39,194.43,172797
10/22/2014 10:25,194.429,194.44,194.37,194.37,161418
10/22/2014 10:26,194.38,194.47,194.35,194.465,187731
10/22/2014 10:27,194.47,194.52,194.43,194.5,127218
10/22/2014 10:28,194.51,194.6,194.5,194.6,196012
10/22/2014 10:29,194.592,194.6,194.47,194.48,227235
10/22/2014 10:30,194.48,194.48,194.37,194.38,297968
10/22/2014 10:31,194.375,194.375,194.26,194.3,379987
10/22/2014 10:32,194.3,194.41,194.23,194.38,338350
10/22/2014 10:33,194.38,194.53,194.3232,194.529,252810
10/22/2014 10:34,194.53,194.65,194.52,194.61,579520
10/22/2014 10:35,194.61,194.62,194.43,194.4701,361909
10/22/2014 10:36,194.48,194.49,194.34,194.38,231957
10/22/2014 10:37,194.38,194.5,194.37,194.42,310374
10/22/2014 10:38,194.41,194.49,194.32,194.41,258983
10/22/2014 10:39,194.41,194.49,194.393,194.44,122718
10/22/2014 10:40,194.435,194.4768,194.393,194.43,112273
10/22/2014 10:41,194.43,194.43,194.24,194.26,223784
10/22/2014 10:42,194.27,194.3,194.2,194.26,204690
10/22/2014 10:43,194.26,194.33,194.26,194.28,263112
10/22/2014 10:44,194.28,194.33,194.25,194.32,164229
10/22/2014 10:45,194.315,194.33,194.23,194.32,204205
10/22/2014 10:46,194.32,194.455,194.31,194.455,279002
10/22/2014 10:47,194.45,194.48,194.38,194.45,127900
10/22/2014 10:48,194.45,194.48,194.31,194.39,273422
10/22/2014 10:49,194.39,194.42,194.32,194.37,309177
10/22/2014 10:50,194.38,194.47,194.359,194.405,150444
10/22/2014 10:51,194.4,194.46,194.37,194.43,81117
10/22/2014 10:52,194.43,194.54,194.42,194.52,191564
10/22/2014 10:53,194.51,194.57,194.48,194.55,396729
10/22/2014 10:54,194.55,194.55,194.49,194.53,132413
10/22/2014 10:55,194.53,194.55,194.435,194.47,141765
10/22/2014 10:56,194.47,194.52,194.46,194.49,63414
10/22/2014 10:57,194.495,194.54,194.47,194.48,62796
10/22/2014 10:58,194.48,194.51,194.38,194.39,161215
10/22/2014 10:59,194.3949,194.44,194.35,194.39,198990
10/22/2014 11:00,194.39,194.47,194.38,194.45,138904
10/22/2014 11:01,194.45,194.5,194.41,194.49,46774
10/22/2014 11:02,194.49,194.57,194.49,194.57,253733
10/22/2014 11:03,194.57,194.63,194.5299,194.543,307444
10/22/2014 11:04,194.54,194.549,194.46,194.46,119177
10/22/2014 11:05,194.47,194.52,194.45,194.475,131410
10/22/2014 11:06,194.47,194.475,194.36,194.43,246921
10/22/2014 11:07,194.42,194.495,194.39,194.49,118593
10/22/2014 11:08,194.5,194.525,194.44,194.47,268274
10/22/2014 11:09,194.47,194.545,194.44,194.52,152348
10/22/2014 11:10,194.52,194.65,194.49,194.65,299377
10/22/2014 11:11,194.65,194.65,194.6,194.61,270106
10/22/2014 11:12,194.63,194.81,194.62,194.78,616277
10/22/2014 11:13,194.78,194.83,194.75,194.81,499817
10/22/2014 11:14,194.8,194.83,194.76,194.761,199965
10/22/2014 11:15,194.782,194.8,194.73,194.75,277788
10/22/2014 11:16,194.75,194.79,194.73,194.74,214539
10/22/2014 11:17,194.741,194.79,194.73,194.77,250854
10/22/2014 11:18,194.77,194.86,194.75,194.805,388209
